fold,model,representation,seconds,n_pairs,n_pos,n_neg,AUROC,AUPRC,TPR@FPR=0.01,TPR@FPR=0.001,best_F1,best_F1_threshold,n_queries,Recall@1,Recall@5,Recall@10,Top1_accuracy,MRR,mAP,op_threshold,op_precision,op_recall,op_F1,op_observed_FDR,rf_oob_accuracy
0,M1_SAAP_Jaccard,saap,0.27,2415,194,2221,0.9852358230016202,0.9857783184990715,0.9845360824742269,0.9845360824742269,0.9922077922077922,0.7817109144542773,70,1.0,1.0,1.0,1.0,1.0,1.0,0.5230202578268877,0.9362745098039216,0.9845360824742269,0.9597989949748744,0.06372549019607843,
0,M2_SAAP_weighted,saap,0.55,2415,194,2221,0.9852358230016199,0.9857783184990716,0.9845360824742269,0.9845360824742269,0.9922077922077922,0.7667926411729679,70,1.0,1.0,1.0,1.0,1.0,1.0,0.517202599860956,0.8162393162393162,0.9845360824742269,0.8925233644859814,0.18376068376068377,
0,M3_PCA_cosine,intensity_pca,0.04,2415,194,2221,0.7788216508770545,0.4674660191079294,0.3711340206185567,0.15979381443298968,0.5150501672240803,0.7008708668030977,70,0.9285714285714286,0.9714285714285714,0.9714285714285714,0.9285714285714286,0.9511255411255412,0.55898333841985,inf,,0.0,0.0,,
0,M4_RandomForest,intensity_log_missing,3.56,2415,194,2221,1.0,1.0,1.0,1.0,1.0,0.516729055258467,70,1.0,1.0,1.0,1.0,1.0,1.0,0.9553472222222222,1.0,0.04639175257731959,0.08866995073891626,0.0,0.9995433789954338
0,M5_Contrastive,intensity_pca,2.25,2415,194,2221,0.9940052080190497,0.9354847541131668,0.8556701030927835,0.4484536082474227,0.870026525198939,-0.2085869461297989,70,0.9571428571428572,0.9857142857142858,1.0,0.9571428571428572,0.9738095238095239,0.9484508547008546,inf,,0.0,0.0,,
0,baseline:majority_different,intensity_log,0.0,2415,194,2221,0.5,0.0803312629399586,0.0,0.0,0.15314401622718052,0.0,70,0.04285714285714286,0.07142857142857142,0.17142857142857143,0.04285714285714286,0.09428569641728328,0.1712590585161324,inf,,0.0,0.0,,
0,baseline:random,intensity_log,0.0,2415,194,2221,0.5089214016162498,0.08130460195081575,0.0,0.0,0.15182960131075915,0.3198073353960721,70,0.05714285714285714,0.3,0.6142857142857143,0.05714285714285714,0.2000968846009757,0.14090658890399516,inf,,0.0,0.0,,
0,baseline:raw_cosine,intensity_log,0.0,2415,194,2221,0.9956878344945391,0.966764667724078,0.9123711340206185,0.7628865979381443,0.9138381201044387,0.9962728305933894,70,1.0,1.0,1.0,1.0,1.0,0.9780516903731189,inf,,0.0,0.0,,
0,baseline:raw_spearman,intensity_log,0.0,2415,194,2221,0.9904241147063875,0.9353877644843612,0.8298969072164949,0.7164948453608248,0.8578947368421053,0.685947660063346,70,1.0,1.0,1.0,1.0,1.0,0.9538612497098786,inf,,0.0,0.0,,
1,M1_SAAP_Jaccard,saap,0.22,2701,208,2493,1.0,1.0,1.0,1.0,1.0,0.7442528735632183,74,1.0,1.0,1.0,1.0,1.0,1.0,0.525233644859813,1.0,1.0,1.0,0.0,
1,M2_SAAP_weighted,saap,0.51,2701,208,2493,1.0,1.0,1.0,1.0,1.0,0.7555213515223891,74,1.0,1.0,1.0,1.0,1.0,1.0,0.5330014820846319,1.0,1.0,1.0,0.0,
1,M3_PCA_cosine,intensity_pca,0.04,2701,208,2493,0.8262403961862445,0.515897679148506,0.36538461538461536,0.2548076923076923,0.524390243902439,0.7466950567813029,74,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.9746881496881497,0.6130507832404322,inf,,0.0,0.0,,
1,M4_RandomForest,intensity_log_missing,3.35,2701,208,2493,1.0,1.0,1.0,1.0,1.0,0.5618894300144303,74,1.0,1.0,1.0,1.0,1.0,1.0,0.9588834776334778,1.0,0.038461538461538464,0.07407407407407407,0.0,0.9993016759776536
1,M5_Contrastive,intensity_pca,1.58,2701,208,2493,0.9937960905921195,0.949863282843214,0.875,0.6778846153846154,0.8955223880597015,-0.22880741953849792,74,0.9864864864864865,1.0,1.0,0.9864864864864865,0.9932432432432432,0.968497575997576,inf,,0.0,0.0,,
1,baseline:majority_different,intensity_log,0.0,2701,208,2493,0.5,0.07700851536467974,0.0,0.0,0.15233853006681514,0.0,74,0.04054054054054054,0.13513513513513514,0.13513513513513514,0.04054054054054054,0.09391362723041002,0.1749652839572027,inf,,0.0,0.0,,
1,baseline:random,intensity_log,0.0,2701,208,2493,0.4802928970347743,0.07056863205565973,0.0,0.0,0.1446298673513051,0.21446778083069262,74,0.04054054054054054,0.21621621621621623,0.4189189189189189,0.04054054054054054,0.15760767205943393,0.10547857921586015,inf,,0.0,0.0,,
1,baseline:raw_cosine,intensity_log,0.0,2701,208,2493,0.9983357246443889,0.9829012031405427,0.9519230769230769,0.8365384615384616,0.9270588235294117,0.9961041592545469,74,1.0,1.0,1.0,1.0,1.0,0.9929680492180492,inf,,0.0,0.0,,
1,baseline:raw_spearman,intensity_log,0.0,2701,208,2493,0.9958923447190595,0.9658918029037055,0.9086538461538461,0.7548076923076923,0.9054726368159204,0.6970847332672417,74,1.0,1.0,1.0,1.0,1.0,0.9814571227071227,inf,,0.0,0.0,,
2,M1_SAAP_Jaccard,saap,0.27,2145,176,1969,0.9894847407544208,0.9893761605626014,0.9886363636363636,0.9772727272727273,0.9885057471264368,0.7432835820895523,66,1.0,1.0,1.0,1.0,1.0,1.0,0.5169660678642715,1.0,0.9772727272727273,0.9885057471264368,0.0,
2,M2_SAAP_weighted,saap,0.58,2145,176,1969,0.989502054573157,0.9895687645687645,0.9886363636363636,0.9886363636363636,0.9942857142857143,0.7683496537297786,66,1.0,1.0,1.0,1.0,1.0,1.0,0.5252224527036501,1.0,0.9886363636363636,0.9942857142857142,0.0,
2,M3_PCA_cosine,intensity_pca,0.04,2145,176,1969,0.8048905766655894,0.4858607458851325,0.4375,0.022727272727272728,0.6068965517241379,0.7176169563364121,66,0.9393939393939394,0.9696969696969697,0.9848484848484849,0.9393939393939394,0.9526515151515151,0.6459758562879075,inf,,0.0,0.0,,
2,M4_RandomForest,intensity_log_missing,3.37,2145,176,1969,0.9996277528971791,0.9956155409938279,1.0,0.8068181818181818,0.9750692520775623,0.51,66,1.0,1.0,1.0,1.0,1.0,1.0,0.9103312169856288,1.0,0.1590909090909091,0.2745098039215686,0.0,0.9991087344028521
2,M5_Contrastive,intensity_pca,1.67,2145,176,1969,0.9768023685304031,0.7406412674233587,0.375,0.056818181818181816,0.7317073170731707,-0.24519608914852142,66,0.9696969696969697,1.0,1.0,0.9696969696969697,0.9823232323232323,0.872945242287465,inf,,0.0,0.0,,
2,baseline:majority_different,intensity_log,0.0,2145,176,1969,0.5,0.08205128205128205,0.0,0.0,0.1553860819828408,0.0,66,0.045454545454545456,0.09090909090909091,0.19696969696969696,0.045454545454545456,0.09827120094911317,0.17099122062176061,inf,,0.0,0.0,,
2,baseline:random,intensity_log,0.0,2145,176,1969,0.4843252227711344,0.07908499171825378,0.005681818181818182,0.0,0.15339918651946544,0.26451559613660325,66,0.09090909090909091,0.3181818181818182,0.5757575757575758,0.09090909090909091,0.21483141260223748,0.13467460520895475,inf,,0.0,0.0,,
2,baseline:raw_cosine,intensity_log,0.0,2145,176,1969,0.9943008679994461,0.884948670548678,0.9488636363636364,0.022727272727272728,0.9310344827586207,0.9960680027808344,66,1.0,1.0,1.0,1.0,1.0,0.9762966971300304,inf,,0.0,0.0,,
2,baseline:raw_spearman,intensity_log,0.0,2145,176,1969,0.9885526801791403,0.8277617138085201,0.8181818181818182,0.028409090909090908,0.8603988603988604,0.6664040844032966,66,1.0,1.0,1.0,1.0,1.0,0.9578498857306672,inf,,0.0,0.0,,
3,M1_SAAP_Jaccard,saap,0.26,1653,153,1500,0.9874901960784312,0.9881380259302752,0.9869281045751634,0.9869281045751634,0.993421052631579,0.7594594594594595,58,1.0,1.0,1.0,1.0,1.0,0.9844827586206896,0.5218978102189781,1.0,0.9869281045751634,0.993421052631579,0.0,
3,M2_SAAP_weighted,saap,0.57,1653,153,1500,0.9874901960784315,0.9881380259302753,0.9869281045751634,0.9869281045751634,0.993421052631579,0.8015198190581105,58,1.0,1.0,1.0,1.0,1.0,0.9844827586206896,0.523716284521454,1.0,0.9869281045751634,0.993421052631579,0.0,
3,M3_PCA_cosine,intensity_pca,0.04,1653,153,1500,0.7761699346405229,0.4683366270114164,0.3137254901960784,0.23529411764705882,0.4622222222222222,0.7278669383390836,58,0.9310344827586207,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9428898518655111,0.582242254353291,inf,,0.0,0.0,,
3,M4_RandomForest,intensity_log_missing,3.86,1653,153,1500,1.0,1.0,1.0,1.0,1.0,0.3514143418310084,58,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,,0.0,0.0,,0.9987029831387808
3,M5_Contrastive,intensity_pca,1.71,1653,153,1500,0.9856470588235294,0.8867474455603852,0.6274509803921569,0.3790849673202614,0.8065573770491803,-0.24244678020477295,58,0.9827586206896551,1.0,1.0,0.9827586206896551,0.9913793103448276,0.9150998090119474,inf,,0.0,0.0,,
3,baseline:majority_different,intensity_log,0.0,1653,153,1500,0.5,0.0925589836660617,0.0,0.0,0.1760104302477184,0.0,58,0.05172413793103448,0.08620689655172414,0.20689655172413793,0.05172413793103448,0.10961147318094494,0.1872507074175706,inf,,0.0,0.0,,
3,baseline:random,intensity_log,0.0,1653,153,1500,0.47181263616557734,0.08690161231181687,0.006535947712418301,0.0,0.17066369213608476,0.013082809952181584,58,0.05172413793103448,0.3275862068965517,0.43103448275862066,0.05172413793103448,0.17498686870160485,0.13843512061571708,inf,,0.0,0.0,,
3,baseline:raw_cosine,intensity_log,0.0,1653,153,1500,0.9983790849673203,0.9869424040850305,0.954248366013072,0.8562091503267973,0.9442622950819672,0.9961953692745522,58,1.0,1.0,1.0,1.0,1.0,0.9987000547345375,inf,,0.0,0.0,,
3,baseline:raw_spearman,intensity_log,0.0,1653,153,1500,0.9941045751633988,0.9567484647379116,0.8627450980392157,0.7189542483660131,0.8823529411764706,0.6894012294012293,58,1.0,1.0,1.0,1.0,1.0,0.9778878688361445,inf,,0.0,0.0,,
4,M1_SAAP_Jaccard,saap,0.24,2278,193,2085,0.999762676905108,0.9982316221330176,0.9948186528497409,0.9948186528497409,0.9974025974025974,0.6666666666666666,68,1.0,1.0,1.0,1.0,1.0,1.0,0.5274725274725275,0.9948186528497409,0.9948186528497409,0.9948186528497409,0.0051813471502590676,
4,M2_SAAP_weighted,saap,0.53,2278,193,2085,1.0,1.0,1.0,1.0,1.0,0.7063199013799583,68,1.0,1.0,1.0,1.0,1.0,1.0,0.5288322243653977,0.9897435897435898,1.0,0.9948453608247423,0.010256410256410256,
4,M3_PCA_cosine,intensity_pca,0.04,2278,193,2085,0.798710254594252,0.522038033357693,0.38341968911917096,0.30569948186528495,0.5229681978798587,0.7446840140035023,68,0.9264705882352942,0.9852941176470589,0.9852941176470589,0.9264705882352942,0.9449826989619377,0.5855750114686371,inf,,0.0,0.0,,
