model,time_gap,n_pairs,mean_score,min_score,frac_above_threshold
M1_SAAP_Jaccard,1,278,0.8368473679146896,0.0,0.9784172661870504
M1_SAAP_Jaccard,2,220,0.8303876190836667,0.0,0.9818181818181818
M1_SAAP_Jaccard,3,171,0.8389091903803607,0.7547683923705722,1.0
M1_SAAP_Jaccard,4,128,0.8340539261038722,0.7432835820895523,1.0
M1_SAAP_Jaccard,5,85,0.837384322389638,0.7594594594594595,1.0
M1_SAAP_Jaccard,6,42,0.8401756996853601,0.779891304347826,1.0
M2_SAAP_weighted,1,278,0.8497816982821252,0.0,0.9856115107913669
M2_SAAP_weighted,2,220,0.840375615570726,0.0,0.9863636363636363
M2_SAAP_weighted,3,171,0.8479461418227118,0.7794832381546462,1.0
M2_SAAP_weighted,4,128,0.8424835824820055,0.7667926411729679,1.0
M2_SAAP_weighted,5,85,0.845372065400988,0.7948637029495305,1.0
M2_SAAP_weighted,6,42,0.8462428095346327,0.7942844336493013,1.0
M3_PCA_cosine,1,278,0.686661232808483,-0.34923349380288443,
M3_PCA_cosine,2,220,0.5209991772778407,-0.38561691810336696,
M3_PCA_cosine,3,171,0.35323163057395973,-0.41742453810766444,
M3_PCA_cosine,4,128,0.2560890506921727,-0.34974457187542674,
M3_PCA_cosine,5,85,0.2600849936893558,-0.23368959152101643,
M3_PCA_cosine,6,42,0.33872936659543035,-0.23597228731956338,
M4_RandomForest,1,278,0.8264320087648167,0.4399019961519961,0.08992805755395683
M4_RandomForest,2,220,0.810254407998168,0.43258838383838377,0.045454545454545456
M4_RandomForest,3,171,0.7993854935187994,0.3514143418310084,0.04678362573099415
M4_RandomForest,4,128,0.7935358560956636,0.48059433621933617,0.0390625
M4_RandomForest,5,85,0.8056474300823727,0.5902227633477634,0.047058823529411764
M4_RandomForest,6,42,0.7961306928202813,0.5758548999309869,0.023809523809523808
M5_Contrastive,1,278,-0.17127299679965852,-0.3687480390071869,
M5_Contrastive,2,220,-0.1792290072549473,-0.3475923240184784,
M5_Contrastive,3,171,-0.1853703785883753,-0.3966614902019501,
M5_Contrastive,4,128,-0.1853814729838632,-0.3369872570037842,
M5_Contrastive,5,85,-0.189371056767071,-0.3795735836029053,
M5_Contrastive,6,42,-0.1799988008680798,-0.32999947667121887,
